2;-42;2
2;-42;2
4;-46;1
5;-46;1
6;-42;2
7;-53;1
7;-53;1
-7;-84;-3
6;-50;3
25;8;4
3;-72;-2
-10;-29;-3
-10;-29;-3
-2;-28;4
16;-43;8
22;-37;8
18;-8;4
18;-8;4
10;-41;2
8;-42;2
9;-35;3
10;-38;1
11;-35;-1
11;-35;-1
8;-38;-1
4;-27;-1
4;-38;-2
0;-36;-5
0;-36;-5
7;-38;-4
10;-56;0
14;-28;2
6;-50;3
6;-50;3
1;-37;1
-2;-39;1
-1;-39;2
3;-30;4
6;-33;4
6;-33;4
8;-35;2
9;-39;-1
10;-40;-1
11;-39;0
11;-39;0
13;-51;-2
9;-52;-6
-8;-76;-9
14;0;1
33;43;4
33;43;4
4;-68;-2
-12;-19;-2
-3;-13;4
14;-27;9
14;-27;9
18;-33;10
13;-25;6
5;-35;5
6;-6;5
9;-2;8
9;-2;8
11;4;8
9;11;5
6;20;3
5;30;0
5;30;0
3;21;-4
7;40;-5
4;6;-2
7;21;1
7;21;1
0;14;4
-8;7;4
-10;25;4
-7;14;4
-3;10;4
-3;10;4
0;8;5
3;0;7
8;-14;8
18;-33;5
18;-33;5
22;-33;1
25;-28;-1
23;-13;0
20;1;1
11;-4;-4
11;-4;-4
-12;-29;-3
-1;-3;9
8;-13;11
-12;-29;0
-12;-29;0
-22;12;-7
-6;16;2
21;0;11
29;11;12
28;-7;9
28;-7;9
17;-14;8
10;-1;9
9;13;9
9;27;7
9;27;7
9;28;5
5;27;4
2;20;0
-9;0;-4
-9;0;-4
-9;-2;-2
-9;-36;1
-4;-10;2
-7;-23;5
-11;-14;5
-11;-14;5
-11;-5;3
-9;-9;2
-4;-13;5
1;-15;6
1;-15;6
8;-18;4
11;-18;3
7;-8;1
1;-2;1
-2;-4;2
-2;-4;2
1;-9;4
2;-23;1
-9;-28;-1
9;4;4
9;4;4
22;-10;5
-4;-60;-7
-21;-21;-6
1;-24;4
21;-46;6
21;-46;6
21;-12;6
17;-4;7
5;-52;8
-1;-43;9
-1;-43;9
1;-30;8
7;-29;5
8;-30;3
3;-29;1
3;-29;1
-1;-24;-1
-5;-44;-4
0;-17;-2
5;-61;-2
5;-29;-1
5;-29;-1
-3;-31;2
-9;-23;2
-6;-19;2
-3;-33;2
-3;-33;2
0;-33;2
1;-32;3
3;-33;3
5;-37;1
4;-34;1
4;-34;1
4;-22;1
5;-33;2
6;-33;2
6;-39;0
6;-39;0
-9;-58;-6
-3;-29;1
18;24;5
5;-58;-3
-14;-23;-6
-14;-23;-6
-5;-19;3
18;-38;7
23;-34;6
23;6;4
23;6;4
15;-35;4
7;-49;6
5;-32;9
5;-34;8
5;-34;8
4;-33;4
2;-29;1
-3;-19;0
-1;-26;-2
-2;-10;-4
-2;-10;-4
6;-31;-3
6;-37;-1
6;-12;2
-4;-25;3
-4;-25;3
-7;-8;2
-5;-18;2
-2;-24;2
2;-20;3
3;-18;3
3;-18;3
6;-24;1
8;-36;0
7;-33;0
4;-27;1
4;-27;1
1;-32;1
2;-32;2
6;-30;0
-6;-56;-5
-6;-56;-5
2;-19;3
24;21;5
1;-64;-4
-14;-20;-8
-9;-17;1
-9;-17;1
15;-39;8
24;-26;9
23;2;6
13;-29;4
13;-29;4
5;-34;6
5;-31;8
6;-41;7
8;-31;4
6;-30;1
6;-30;1
5;-21;-1
4;-33;-3
0;-23;-3
5;-38;-2
5;-38;-2
6;-53;0
8;-24;3
-3;-39;4
-6;-21;3
-4;-24;2
-4;-24;2
0;-29;1
2;-25;2
5;-23;3
8;-26;2
8;-26;2
8;-31;2
8;-35;2
7;-34;2
7;-32;3
7;-32;3
5;-20;2
5;-15;0
4;-29;0
5;-25;0
5;-26;-1
5;-26;-1
-8;-41;-3
9;1;7
31;20;5
2;-62;-5
2;-62;-5
-15;-11;-7
-7;-20;4
16;-33;10
24;-17;10
21;-4;5
21;-4;5
11;-34;5
8;-23;7
7;-32;9
5;-41;7
5;-41;7
4;-38;4
3;-29;1
3;-20;-2
5;-35;-5
5;-18;-5
4;-18;-5
5;-42;-3
6;-34;1
4;-28;4
-3;-42;4
-3;-42;4
-4;-17;4
-2;-22;3
0;-27;2
2;-25;2
2;-25;2
3;-26;3
5;-28;2
7;-34;1
8;-38;0
6;-41;0
6;-41;0
5;-46;3
5;-41;3
3;-31;1
7;-30;2
7;-30;2
13;-38;6
19;-38;9
17;-51;5
3;-57;3
24;5;10
24;5;10
29;5;6
-1;-44;-6
-13;6;-7
2;-12;2
2;-12;2
18;-41;7
19;-27;5
12;-18;0
3;-35;-1
3;-35;-1
0;-29;2
3;-30;6
6;-45;6
5;-51;4
5;-48;0
5;-48;0
6;-40;-2
3;-46;-5
2;-13;-6
0;-49;-3
0;-49;-3
3;-42;1
3;-46;5
1;-57;6
2;-35;4
2;-32;4
2;-32;4
2;-31;3
1;-25;3
2;-25;4
4;-26;3
4;-26;3
7;-31;0
8;-39;-2
8;-43;-2
7;-43;0
6;-39;1
6;-39;1
6;-27;2
6;-11;0
8;-7;-1
7;1;-1
7;1;-1
6;11;0
-3;1;-3
-6;12;3
26;91;10
26;91;10
21;35;5
2;5;-3
-9;39;0
13;44;8
25;31;11
25;31;11
24;56;7
17;45;4
12;35;4
12;40;6
12;40;6
13;25;7
13;19;7
11;23;5
8;37;2
9;52;0
9;52;0
5;41;-3
9;43;-1
7;5;2
9;31;-1
9;31;-1
2;10;-12
-4;15;-21
-4;18;-21
-4;16;-14
-1;25;-6
-1;25;-6
2;24;2
7;22;5
10;19;4
13;18;3
13;18;3
14;22;3
13;32;8
11;36;12
6;46;11
6;46;11
1;35;9
-2;26;8
1;25;9
-2;0;7
-11;-11;5
-11;-11;5
9;26;9
27;35;12
1;-35;0
-16;-4;-4
-16;-4;-4
6;-5;3
27;-21;5
22;4;6
13;5;8
1;-31;9
1;-31;9
-5;-24;9
-1;-26;7
6;-24;4
8;-28;4
8;-28;4
3;-33;3
-3;-30;1
-11;-54;-1
-4;-39;1
3;-77;1
3;-77;1
1;-54;2
-3;-50;4
-7;-46;3
-5;-40;2
-5;-40;2
-3;-54;1
-3;-57;2
-1;-52;4
3;-45;3
3;-45;3
8;-43;2
